originalTimestamp,userId,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,location,search_text,button_name,city,parish,traits,event_type
2026-07-14 07:15:21.544000+00:00,,1beb90d2-3140-4c1a-92ea-ff1629d31134,ajs-next-1784013321544-3140fc1a-92ea-4f16-a9d3-1134ddf84a57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.169 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,"1744643921578x315333816253624100, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1781830336957x808577548450478500, 1744579851707x640487742075829500",true,,,,,,,,,,,,,,,,impression
2026-07-14 07:15:20.227000+00:00,,1beb90d2-3140-4c1a-92ea-ff1629d31134,ajs-next-1784013320227-d01beb90-d231-40fc-9a92-eaff1629d311,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.169 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,page
2026-07-14 07:15:20.238000+00:00,,1beb90d2-3140-4c1a-92ea-ff1629d31134,ajs-next-1784013320238-90d23140-fc1a-42ea-bf16-29d31134ddf8,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.169 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,"1744643921578x315333816253624100, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1781830336957x808577548450478500, 1744579851707x640487742075829500",true,,,,,,,,,,,,,,,,impression
2026-07-14 14:05:39.712000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037939712-ddbf42bd-a111-4965-a8a9-563382a88902,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,1753982403438x535213824960417500,true,,,,,,,,,,main_list,,,,,,impression
2026-07-14 14:06:48.398000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784038008398-bf16bae8-3781-4be1-bc5e-848acc67835d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,"1778185404695x597979725335827200, 1777042863057x294476376362385400, 1768584016102x834619843946063900, 1744751205492x235134337285239230, 1748365021326x105262688542451250, 1771021914207x198452557005754900, 1759153763139x433792388290277000, 1776373432940x530737443814194940, 1764893879099x465248075524681500, 1749173974503x736079030141835600, 1753465897836x101289632151690960, 1774573166178x561429420668618400, 1754084205128x675147807630683600, 1777042895042x187867473484191420, 1771433486472x495156137805681660, 1750436264420x989591292213482400, 1747165674437x491901038958021200, 1744397288473x909294892772270800, 1754927931120x470668069008822300, 1744335958024x226211831616957250, 1744760380914x558772773612561600, 1746827109704x963221719337950200, 1772982809798x739419868972941400, 1770152894907x464897480736850900, 1757438153395x416809556103947500, 1781830336957x808577548450478500, 1744157592334x292550965261606100, 1744282156200x727555159743162000, 1771003581692x955050931630977700, 1769635123521x385801932800474700, 1755533063776x956164571796881400, 1744907031541x119079844893356540, 1783603380895x646194509208660700, 1771545376609x752763268373144000, 1744319857648x144922844539837200, 1751402056748x637551618886434600, 1746631267951x741803061642879500, 1744175271939x575064790204550460, 1753374338412x209529915103450200, 1757355028996x505189727810192200, 1777321143190x321072500270616060, 1755621956288x571897163769246900, 1779207002005x542183775914824900, 1753909381745x872991521395046100, 1764711530894x480989914892320700, 1761919898226x928695665795906700, 1746938798847x931997689495082400, 1745273541628x945470626229355500, 1745533127765x291393362647413700, 1744579851707x640487742075829500, 1778678470875x691076180629588500, 1753911193017x504194995643152640, 1754624056001x759184470890143000, 1782146204142x629417106351450200, 1748389292320x918627677903932400, 1744737250347x219277345743008400, 1747848709032x210920410073364830, 1763569204895x378265538177280400, 1750783674403x491887953737125700, 1757369121056x350487849823425600, 1745597587022x519433479989605000, 1748581534531x956271769254002200, 1781791909727x427924501831676600, 1750785338983x949958887494882000, 1747185390251x665604546429507900, 1758120880051x675194275556497400, 1758147388607x898014240790697700, 1746855895334x711816173120128000, 1764342295066x618134664283571500, 1776360294100x840938158936498600, 1743549178851x847080663521240200, 1747221865162x703532834449508000, 1747827548541x313848517899538500, 1746635677548x343522492232585660, 1744643921578x315333816253624100, 1763255155587x707008769292458900, 1776552489781x780158200693874000, 1776210729408x448410210135887360, 1770755356265x111382421474427680, 1766070455303x639821695383855700, 1777405836126x277715594249416060, 1763509156539x144450665564595840, 1768426055630x579798080961828200, 1777052217878x935579896985562900, 1768581853937x610498789092930300, 1747170561218x640297169073643000, 1763148950401x545361905340972600, 1749057953945x756346430245684600, 1779898672007x583448227567234600, 1757720364741x595714121363069200, 1765001972595x338020444395840100, 1762271200864x775090106640580500, 1765991015203x350068785849064760, 1746843461447x686795565273950000, 1751749348389x952656707958261400, 1750423781412x480534435350699700, 1758568877707x715638242996164100, 1761044854709x307607562836745150, 1771538218470x758525499484679000, 1750783679107x801419812763124500, 1753985929691x853149258569598100, 1746467711533x453074785848415400, 1752717497153x537286585580736960, 1757437593796x460281345015416640, 1779564452798x328047204556438640, 1776102250538x198432379819539760, 1744260813114x505427712482621440, 1763672237927x725969385673238800, 1747184079669x994211808429350800, 1754505203290x671062062407191900, 1750784475796x702583457937545900, 1751224250248x539537516841198200, 1743547621069x279645472884266780, 1747420152884x437771544876149700, 1744398484109x785674167096991400, 1752182630575x854371423894944000, 1758312173588x895819358343598700, 1750784029587x963255839088365200, 1754941249648x796792188496967000, 1779223019066x495549806274790700, 1755271286521x378031808974615550, 1770943484557x164806709481949200, 1751319669665x621437589169731200, 1747415704843x665338483592092500, 1763408145585x201322720695875870, 1759930025997x126109694575208930, 1747864432460x772931238395911000, 1744748222708x779656090283929300, 1783629215270x470942340385689600, 1771517879190x523242735258870900, 1747594874125x270237571814453630, 1768238584049x399775147114029200, 1746548006831x128230088489826860, 1768844277981x664142917381285000, 1761930377989x951815782791809400, 1762889659042x996969350831174300, 1754949567759x639105313824555300, 1776360466250x658348247885801300, 1763305551668x997299018011994600, 1754081360962x724252535884739300, 1753135741395x558904608479141570, 1762957766158x632118084948257900, 1747216018889x770977089491677400, 1764781838221x716772635359430500, 1749068120323x412920063824988600, 1766011883106x917993758751800300, 1751425811600x127124815802215140, 1752687366861x422755081931784260, 1746765568691x979794717919274100, 1761762406893x958878656538368500, 1747163465846x476237095610093000, 1751744301621x758526182685981300, 1753982403438x535213824960417500, 1779371355755x238144527494011940, 1744740154739x566945822952470660, 1778709723276x637265650543127800, 1764963280733x431041418968701760, 1772482882558x843076024552954900, 1775244057768x699511577684581800, 1771436045389x658317953644361100, 1760118921086x941497076227920600, 1762364811793x796217509980630800, 1747398900475x598159844147748100, 1777921226784x512595595894430850, 1775058462201x523059865418210800, 1765399408996x262641226191956400, 1760458225389x690604949380638100, 1744134674881x127285411168640110, 1781734682517x295026001124971000, 1749742920378x965836759111504900, 1747183179554x540122160625888100, 1768427614253x929508274229176300, 1744391553368x301043576290850300, 1759423986281x805514757919405700, 1745528732739x896561533370513300, 1744743906400x631087870982087000, 1769719058268x843927058977011000, 1749580724532x760028975589297300, 1744736810207x919925185055488400, 1761762460002x434978052003146300",false,,,,,,,,,,,,,,,,impression
2026-07-14 14:05:37.098000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037937098-7d70601b-584b-4eac-b397-553407c5b4ea,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,,,,,search
2026-07-14 14:05:35.723000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037935723-22e39290-a043-4d70-a01b-584b0eacf397,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,"1753982403438x535213824960417500, 1750436264420x989591292213482400, 1744643921578x315333816253624100, 1781830336957x808577548450478500, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1752717497153x537286585580736960",true,,,,,,,,,,,,,,,,impression
2026-07-14 14:06:07.098000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037967098-5980be1f-fa73-4945-b237-6ae5ec1c776d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,map_maker,,,,button_click
2026-07-14 14:05:55.950000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037955950-f965a8a9-5633-42a8-8902-12ac5980be1f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,Home Services,,,,,,,,,main_search,,,,,,search
2026-07-14 14:06:04.372000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037964372-12ac5980-be1f-4a73-a945-f2376ae5ec1c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,map_maker,,,,button_click
2026-07-14 14:06:46.883000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784038006883-6ae5ec1c-776d-4d9f-bc8c-bf16bae83781,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,search,,,,button_click
2026-07-14 14:06:47.491000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784038007491-776d5d9f-bc8c-4f16-bae8-37812be1bc5e,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,search,search,,,,,,,page
2026-07-14 14:05:36.797000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037936797-a0437d70-601b-484b-8eac-f397553407c5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,search,,,,button_click
2026-07-14 14:05:39.109000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037939109-dc8a6295-ddbf-42bd-a111-f965a8a95633,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,search,search,,,,,,,page
2026-07-14 14:05:55.646000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037955646-a111f965-a8a9-4633-82a8-890212ac5980,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,search,,,,button_click
2026-07-14 14:06:48.095000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784038008095-bc8cbf16-bae8-4781-abe1-bc5e848acc67,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,1753982403438x535213824960417500,true,,,,,,,,,,main_list,,,,,,impression
2026-07-14 14:05:39.410000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037939410-6295ddbf-42bd-4111-b965-a8a9563382a8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,true,,,,,,,,,,sidebar,,,,,,impression
2026-07-14 14:05:34.926000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037934926-511d22e3-9290-4043-bd70-601b584b0eac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,page
2026-07-14 14:05:57.192000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037957192-890212ac-5980-4e1f-ba73-2945f2376ae5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,"1744335958024x226211831616957250, 1750783674403x491887953737125700, 1763255155587x707008769292458900, 1744579851707x640487742075829500, 1755621956288x571897163769246900, 1747216018889x770977089491677400, 1754927931120x470668069008822300, 1759153763139x433792388290277000, 1745273541628x945470626229355500, 1763408145585x201322720695875870, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1763148950401x545361905340972600, 1755533063776x956164571796881400, 1744751205492x235134337285239230, 1747398900475x598159844147748100, 1749742920378x965836759111504900, 1744398484109x785674167096991400, 1777042863057x294476376362385400, 1744748222708x779656090283929300, 1759930025997x126109694575208930, 1775058462201x523059865418210800, 1768581853937x610498789092930300, 1747848709032x210920410073364830, 1759423986281x805514757919405700, 1753911193017x504194995643152640, 1746855895334x711816173120128000, 1747864432460x772931238395911000, 1776552489781x780158200693874000, 1754505203290x671062062407191900, 1751319669665x621437589169731200",false,,,,,,,,,,,,,,,,impression
2026-07-14 14:06:09.696000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037969696-be1ffa73-2945-4237-aae5-ec1c776d5d9f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,map_maker,,,,button_click
2026-07-14 14:06:14.230000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037974230-fa732945-f237-4ae5-ac1c-776d5d9fbc8c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,map_maker,,,,button_click
2026-07-14 14:05:56.888000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037956888-82a88902-12ac-4980-be1f-fa732945f237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,1750436264420x989591292213482400,true,,,,,,,,,,main_list,,,,,,impression
2026-07-14 14:05:56.586000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037956586-563382a8-8902-42ac-9980-be1ffa732945,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,true,,,,,,,,,,sidebar,,,,,,impression
2026-07-14 14:06:47.793000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784038007793-5d9fbc8c-bf16-4ae8-b781-2be1bc5e848a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,true,,,,,,,,,,sidebar,,,,,,impression
2026-07-14 14:06:20.805000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037980805-2945f237-6ae5-4c1c-b76d-5d9fbc8cbf16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,,,map_maker,,,,button_click
2026-07-14 14:06:47.187000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784038007187-ec1c776d-5d9f-4c8c-bf16-bae837812be1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,,,,main_search,,,,,,search
2026-07-14 14:05:35.724000+00:00,1743547621069x279645472884266780,4afaca51-6fac-4730-9069-ac8f92734313,ajs-next-1784037935724-9290a043-7d70-401b-984b-0eacf3975534,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,"1753982403438x535213824960417500, 1750436264420x989591292213482400, 1744643921578x315333816253624100, 1781830336957x808577548450478500, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1752717497153x537286585580736960",true,,,,,,,,,,,,,,,,impression
